level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1653	2339	-1	
2	1	1	0	0	0	154	192	1018	196	-1	
3	1	1	1	0	0	154	192	1018	196	-1	
4	1	1	1	1	0	154	192	1018	196	-1	
5	1	1	1	1	1	154	192	1018	196	95	  
2	1	2	0	0	0	161	462	403	41	-1	
3	1	2	1	0	0	161	462	403	41	-1	
4	1	2	1	1	0	161	462	403	41	-1	
5	1	2	1	1	1	161	462	84	32	90	PDF
5	1	2	1	1	2	262	462	106	33	90	Form
5	1	2	1	1	3	386	462	178	41	88	Example
2	1	3	0	0	0	158	544	1327	65	-1	
3	1	3	1	0	0	158	544	1327	65	-1	
4	1	3	1	1	0	158	544	1306	30	-1	
5	1	3	1	1	1	158	545	57	23	91	This
5	1	3	1	1	2	226	545	19	23	96	is
5	1	3	1	1	3	256	550	31	18	93	an
5	1	3	1	1	4	298	545	114	29	90	example
5	1	3	1	1	5	422	544	26	24	92	of
5	1	3	1	1	6	456	550	15	18	93	a
5	1	3	1	1	7	482	550	59	18	78	user
5	1	3	1	1	8	549	544	85	24	90	fillable
5	1	3	1	1	9	646	545	57	22	92	PDF
5	1	3	1	1	10	713	544	67	24	91	form.
5	1	3	1	1	11	793	545	118	29	89	Normally
5	1	3	1	1	12	922	545	58	22	89	PDF
5	1	3	1	1	13	992	545	19	23	93	is
5	1	3	1	1	14	1022	545	63	23	92	used
5	1	3	1	1	15	1096	550	30	18	96	as
5	1	3	1	1	16	1136	550	15	18	93	a
5	1	3	1	1	17	1161	544	54	24	89	final
5	1	3	1	1	18	1228	545	133	29	90	publishing
5	1	3	1	1	19	1372	544	92	24	89	format.
4	1	3	1	2	0	160	580	1325	29	-1	
5	1	3	1	2	1	160	580	119	23	90	However
5	1	3	1	2	2	289	580	58	23	91	PDF
5	1	3	1	2	3	358	580	47	23	91	has
5	1	3	1	2	4	415	586	32	17	93	an
5	1	3	1	2	5	458	580	80	29	91	option
5	1	3	1	2	6	549	581	24	22	93	to
5	1	3	1	2	7	584	580	32	23	90	be
5	1	3	1	2	8	627	580	62	23	90	used
5	1	3	1	2	9	701	586	30	17	96	as
5	1	3	1	2	10	742	586	31	17	93	an
5	1	3	1	2	11	784	581	67	28	92	entry
5	1	3	1	2	12	860	580	59	23	92	form
5	1	3	1	2	13	929	580	51	23	90	that
5	1	3	1	2	14	990	586	46	17	92	can
5	1	3	1	2	15	1048	580	31	23	91	be
5	1	3	1	2	16	1090	580	80	23	92	edited
5	1	3	1	2	17	1181	580	48	23	92	and
5	1	3	1	2	18	1241	580	79	23	91	saved
5	1	3	1	2	19	1332	580	30	29	92	by
5	1	3	1	2	20	1371	580	41	23	90	the
5	1	3	1	2	21	1423	586	62	17	88	user.
2	1	4	0	0	0	158	650	1272	65	-1	
3	1	4	1	0	0	158	650	1272	65	-1	
4	1	4	1	1	0	158	650	1272	29	-1	
5	1	4	1	1	1	158	650	52	23	91	The
5	1	4	1	1	2	219	650	71	23	91	fields
5	1	4	1	1	3	300	650	25	23	91	of
5	1	4	1	1	4	333	650	46	23	91	this
5	1	4	1	1	5	389	650	59	23	92	form
5	1	4	1	1	6	460	650	64	23	91	have
5	1	4	1	1	7	535	650	64	23	91	been
5	1	4	1	1	8	611	650	110	23	90	selected
5	1	4	1	1	9	732	651	25	22	92	to
5	1	4	1	1	10	767	650	168	23	91	demonstrate
5	1	4	1	1	11	945	656	30	17	93	as
5	1	4	1	1	12	987	656	73	23	92	many
5	1	4	1	1	13	1069	656	30	17	93	as
5	1	4	1	1	14	1111	650	109	29	91	possible
5	1	4	1	1	15	1230	650	26	23	93	of
5	1	4	1	1	16	1264	650	41	23	90	the
5	1	4	1	1	17	1315	656	115	17	90	common
4	1	4	1	2	0	159	685	153	30	-1	
5	1	4	1	2	1	159	686	67	29	92	entry
5	1	4	1	2	2	234	685	78	24	90	fields.
2	1	5	0	0	0	158	756	1095	29	-1	
3	1	5	1	0	0	158	756	1095	29	-1	
4	1	5	1	1	0	158	756	1095	29	-1	
5	1	5	1	1	1	158	756	57	23	89	This
5	1	5	1	1	2	225	756	134	23	91	document
5	1	5	1	1	3	368	756	48	23	91	and
5	1	5	1	1	4	429	756	58	23	91	PDF
5	1	5	1	1	5	496	756	59	23	92	form
5	1	5	1	1	6	567	756	64	23	91	have
5	1	5	1	1	7	642	756	65	23	90	been
5	1	5	1	1	8	718	756	99	23	91	created
5	1	5	1	1	9	827	756	52	23	92	with
5	1	5	1	1	10	891	756	152	29	88	OpenOffice
5	1	5	1	1	11	1054	756	105	29	90	(version
5	1	5	1	1	12	1171	756	82	29	92	3.4.0).
2	1	6	0	0	0	158	826	1295	64	-1	
3	1	6	1	0	0	158	826	1295	64	-1	
4	1	6	1	1	0	158	826	1295	29	-1	
5	1	6	1	1	1	158	826	32	23	92	To
5	1	6	1	1	2	199	826	27	23	89	fill
5	1	6	1	1	3	237	827	41	22	90	out
5	1	6	1	1	4	287	826	42	23	90	the
5	1	6	1	1	5	338	826	67	27	91	form,
5	1	6	1	1	6	418	826	72	23	92	make
5	1	6	1	1	7	500	832	58	17	92	sure
5	1	6	1	1	8	568	826	41	23	91	the
5	1	6	1	1	9	620	826	58	23	91	PDF
5	1	6	1	1	10	688	826	37	23	92	file
5	1	6	1	1	11	737	826	19	23	96	is
5	1	6	1	1	12	768	827	40	22	93	not
5	1	6	1	1	13	819	826	129	29	92	read—only.
5	1	6	1	1	14	961	826	16	23	88	If
5	1	6	1	1	15	985	826	41	23	92	the
5	1	6	1	1	16	1035	826	38	23	91	file
5	1	6	1	1	17	1084	826	20	23	93	is
5	1	6	1	1	18	1115	826	125	29	92	read—only
5	1	6	1	1	19	1250	832	62	17	92	save
5	1	6	1	1	20	1324	826	13	23	93	it
5	1	6	1	1	21	1346	826	48	23	93	first
5	1	6	1	1	22	1404	827	24	22	96	to
5	1	6	1	1	23	1438	832	15	17	96	a
4	1	6	1	2	0	158	860	893	30	-1	
5	1	6	1	2	1	158	860	77	24	90	folder
5	1	6	1	2	2	244	866	27	18	90	or
5	1	6	1	2	3	280	862	127	28	90	computer
5	1	6	1	2	4	416	861	111	29	89	desktop.
5	1	6	1	2	5	540	860	76	24	91	Close
5	1	6	1	2	6	625	861	47	23	90	this
5	1	6	1	2	7	681	860	38	24	86	file
5	1	6	1	2	8	730	861	48	23	91	and
5	1	6	1	2	9	789	866	65	24	91	open
5	1	6	1	2	10	865	861	41	23	92	the
5	1	6	1	2	11	916	861	79	23	90	saved
5	1	6	1	2	12	1006	860	45	24	90	file.
2	1	7	0	0	0	160	931	924	30	-1	
3	1	7	1	0	0	160	931	924	30	-1	
4	1	7	1	1	0	160	931	924	30	-1	
5	1	7	1	1	1	160	932	91	23	91	Please
5	1	7	1	1	2	260	931	27	23	88	fill
5	1	7	1	1	3	298	932	42	23	92	out
5	1	7	1	1	4	349	932	41	23	92	the
5	1	7	1	1	5	399	931	117	30	92	following
5	1	7	1	1	6	526	931	78	24	90	fields.
5	1	7	1	1	7	617	932	127	28	90	Important
5	1	7	1	1	8	752	931	71	24	90	fields
5	1	7	1	1	9	833	937	42	18	92	are
5	1	7	1	1	10	886	932	99	23	91	marked
5	1	7	1	1	11	995	932	89	29	92	yellow.
2	1	8	0	0	0	160	1036	174	24	-1	
3	1	8	1	0	0	160	1036	174	24	-1	
4	1	8	1	1	0	160	1036	174	24	-1	
5	1	8	1	1	1	160	1036	76	24	90	Given
5	1	8	1	1	2	248	1037	86	23	90	Name:
2	1	9	0	0	0	158	1219	874	23	-1	
3	1	9	1	0	0	158	1219	874	23	-1	
4	1	9	1	1	0	158	1219	874	23	-1	
5	1	9	1	1	1	158	1219	111	23	91	Address
5	1	9	1	1	2	282	1219	20	22	92	1:
5	1	9	1	1	3	904	1219	85	23	91	House
5	1	9	1	1	4	1000	1224	32	17	81	nr:
2	1	10	0	0	0	1044	1212	206	1	-1	
3	1	10	1	0	0	1044	1212	206	1	-1	
4	1	10	1	1	0	1044	1212	206	1	-1	
5	1	10	1	1	1	1044	1212	206	1	95	 
2	1	11	0	0	0	453	1213	432	1	-1	
3	1	11	1	0	0	453	1213	432	1	-1	
4	1	11	1	1	0	453	1213	432	1	-1	
5	1	11	1	1	1	453	1213	432	1	95	 
2	1	12	0	0	0	1044	1212	1	57	-1	
3	1	12	1	0	0	1044	1212	1	57	-1	
4	1	12	1	1	0	1044	1212	1	57	-1	
5	1	12	1	1	1	1044	1212	1	57	95	 
2	1	13	0	0	0	1044	1268	206	1	-1	
3	1	13	1	0	0	1044	1268	206	1	-1	
4	1	13	1	1	0	1044	1268	206	1	-1	
5	1	13	1	1	1	1044	1268	206	1	95	 
2	1	14	0	0	0	453	1268	432	1	-1	
3	1	14	1	0	0	453	1268	432	1	-1	
4	1	14	1	1	0	453	1268	432	1	-1	
5	1	14	1	1	1	453	1268	432	1	95	 
2	1	15	0	0	0	158	1285	649	88	-1	
3	1	15	1	0	0	158	1285	649	84	-1	
4	1	15	1	1	0	158	1285	144	23	-1	
5	1	15	1	1	1	158	1285	111	23	91	Address
5	1	15	1	1	2	279	1285	23	22	88	2:
4	1	15	1	2	0	160	1336	647	37	-1	
5	1	15	1	2	1	160	1336	131	37	92	Postcode:
5	1	15	1	2	2	750	1340	57	29	68	City:
2	1	16	0	0	0	453	1322	798	4	-1	
3	1	16	1	0	0	453	1322	798	4	-1	
4	1	16	1	1	0	453	1322	798	4	-1	
5	1	16	1	1	1	453	1322	798	4	95	 
2	1	17	0	0	0	1248	1212	4	168	-1	
3	1	17	1	0	0	1248	1212	4	168	-1	
4	1	17	1	1	0	1248	1212	4	168	-1	
5	1	17	1	1	1	1248	1212	4	168	95	 
2	1	18	0	0	0	670	1323	1	57	-1	
3	1	18	1	0	0	670	1323	1	57	-1	
4	1	18	1	1	0	670	1323	1	57	-1	
5	1	18	1	1	1	670	1323	1	57	95	 
2	1	19	0	0	0	818	1323	1	57	-1	
3	1	19	1	0	0	818	1323	1	57	-1	
4	1	19	1	1	0	818	1323	1	57	-1	
5	1	19	1	1	1	818	1323	1	57	95	 
2	1	20	0	0	0	818	1378	433	3	-1	
3	1	20	1	0	0	818	1378	433	3	-1	
4	1	20	1	1	0	818	1378	433	3	-1	
5	1	20	1	1	1	818	1378	433	3	95	 
2	1	21	0	0	0	453	1379	218	1	-1	
3	1	21	1	0	0	453	1379	218	1	-1	
4	1	21	1	1	0	453	1379	218	1	-1	
5	1	21	1	1	1	453	1379	218	1	95	 
2	1	22	0	0	0	453	1414	432	1	-1	
